Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Pecresse Jerome,Senior Vice President,2022-05-11,Sale,74.13,"1,442","106,895","15,943",May 12 04:19 PM
Reynolds Paula Rosput,Director,2022-05-06,Buy,77.65,"1,200","93,180","5,563",May 09 05:02 PM
GENERAL ELECTRIC CO,10% Owner,2022-05-06,Sale,34.45,"72,025,826","2,481,289,706","3,931,363",May 09 04:15 PM
Slattery John S.,Senior Vice President,2022-05-02,Buy,75.0,"3,601","270,075","3,601",May 03 05:41 PM
Strazik Scott,Senior Vice President,2022-05-02,Buy,75.55,"1,237","93,455","9,581",May 03 05:41 PM
Strazik Scott,Senior Vice President,2022-05-02,Buy,73.57,"2,500","183,925","15,634",May 03 05:41 PM
CULP H LAWRENCE JR,Chairman and CEO,2022-05-02,Buy,74.53,"65,000","4,844,301","211,210",May 02 07:55 PM
Strazik Scott,Senior Vice President,2022-03-19,Option Exercise,0.0,"2,875",0,"14,455",Mar 22 04:06 PM
Timko Thomas S,Vice President,2022-03-19,Option Exercise,0.0,"2,438",0,"26,617",Mar 22 04:06 PM
Holston Michael J,Senior Vice President,2022-03-19,Option Exercise,0.0,"3,438",0,"32,330",Mar 22 04:04 PM
Pecresse Jerome,Senior Vice President,2022-03-19,Option Exercise,0.0,"2,500",0,"18,718",Mar 22 04:05 PM
Stokes Russell,Senior Vice President,2022-03-19,Option Exercise,0.0,"4,375",0,"48,009",Mar 22 04:05 PM
Cox L Kevin,Senior Vice President,2022-03-19,Option Exercise,0.0,"3,750",0,"7,308",Mar 22 04:04 PM
Timko Thomas S,Vice President,2022-03-02,Option Exercise,0.0,"1,990",0,"25,147",Mar 03 08:10 PM
Strazik Scott,Senior Vice President,2022-03-02,Option Exercise,0.0,"3,419",0,"13,154",Mar 03 08:09 PM
Pecresse Jerome,Senior Vice President,2022-03-02,Option Exercise,0.0,"2,654",0,"17,634",Mar 03 08:07 PM
Stokes Russell,Senior Vice President,2022-03-02,Option Exercise,0.0,"3,572",0,"45,254",Mar 03 08:08 PM
Cox L Kevin,Senior Vice President,2022-03-02,Option Exercise,0.0,"3,062",0,"5,042",Mar 03 08:06 PM
Dybeck Happe Carolina,Senior Vice President,2022-03-02,Option Exercise,0.0,"5,103",0,"5,103",Mar 03 08:06 PM
Holston Michael J,Senior Vice President,2022-03-02,Option Exercise,0.0,"2,807",0,"30,137",Mar 03 08:07 PM
Timko Thomas S,Vice President,2022-02-14,Option Exercise,0.0,"1,648",0,"23,726",Feb 16 04:12 PM
Pecresse Jerome,Senior Vice President,2022-02-10,Option Exercise,0.0,"1,301",0,"15,672",Feb 14 04:13 PM
Strazik Scott,Senior Vice President,2022-02-10,Option Exercise,0.0,651,0,"9,950",Feb 14 04:14 PM
Seidman Leslie,Director,2021-11-22,Buy,100.59,"1,000","100,590","1,813",Nov 23 05:12 PM
Reynolds Paula Rosput,Director,2021-11-12,Buy,107.06,"1,000","107,060","3,363",Nov 16 04:03 PM
Pecresse Jerome,Senior Vice President,2021-09-30,Option Exercise,0.0,456,0,"14,613",Oct 01 04:52 PM
Timko Thomas S,Vice President,2021-09-10,Option Exercise,0.0,"11,705",0,"27,779",Sep 13 04:34 PM
Stokes Russell,Senior Vice President,2021-09-09,Option Exercise,0.0,521,0,"41,191",Sep 13 04:34 PM
Stokes Russell,Senior Vice President,2021-09-06,Option Exercise,0.0,728,0,"41,001",Sep 08 07:58 PM
Pecresse Jerome,Senior Vice President,2021-09-06,Option Exercise,0.0,364,0,"14,350",Sep 08 04:16 PM
Murphy Kieran Pius,Senior Vice President,2021-09-06,Option Exercise,0.0,546,0,"24,923",Sep 08 04:16 PM
Strazik Scott,Senior Vice President,2021-07-28,Option Exercise,0.0,"10,404",0,"79,212",Jul 29 04:33 PM
Murphy Kieran Pius,Senior Vice President,2021-07-28,Option Exercise,0.0,"10,404",0,"199,912",Jul 29 04:31 PM
Pecresse Jerome,Senior Vice President,2021-07-28,Option Exercise,0.0,"10,404",0,"117,338",Jul 29 04:32 PM
